;name;room;seats;address;lon;lat
2;Acud;1;80;Veteranenstraße 21 10119 Berlin Mitte;13,40086;52,53353
3;Acud;2;32;Veteranenstraße 21 10119 Berlin Mitte;13,40086;52,53353
4;Adria;1;376;Schloßstraße 48 12165 Berlin Steglitz;13,317916;52,454724
5;Akademie der Künste;1;518;Hanseatenweg 10 10557 Berlin Tiergarten (030) 200 572 000Homepage;13,34607;52,51787
6;Alhambra;1;358;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
7;Alhambra;2;342;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
8;Alhambra;3;120;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
9;Alhambra;4;208;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
10;Alhambra;5;111;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
11;Alhambra;6;147;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
12;Alhambra;7;138;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
13;Arsenal;1;236;Potsdamer Straße 2 10785 Berlin Tiergarten;13,37373;52,50974
14;Arsenal;2;75;Potsdamer Straße 2 10785 Berlin Tiergarten;13,37373;52,50974
15;Astor Film Lounge;1;250;Kurfürstendamm 225 10719 Berlin Charlottenburg;13,329938;52,5032605
16;Astra Filmpalast;1;160;Sterndamm 69 12487 Berlin Treptow (030) 636 16 50Homepage;13,50722;52,44713
17;Astra Filmpalast;2;152;Sterndamm 69 12487 Berlin Treptow (030) 636 16 50Homepage;13,50722;52,44713
18;Astra Filmpalast;3;152;Sterndamm 69 12487 Berlin Treptow (030) 636 16 50Homepage;13,50722;52,44713
19;Astra Filmpalast;4;306;Sterndamm 69 12487 Berlin Treptow (030) 636 16 50Homepage;13,50722;52,44713
20;Astra Filmpalast;5;107;Sterndamm 69 12487 Berlin Treptow (030) 636 16 50Homepage;13,50722;52,44713
21;b-ware! Ladenkino;1;40;Gärtner Straße 19 10245 Berlin Friedrichshain;13,4615156;52,5119038
22;Babylon (Kreuzberg);1;192;Dresdenerstraße 126 10999 Berlin Kreuzberg;13,4168168;52,500692
23;Babylon (Kreuzberg);2;72;Dresdenerstraße 126 10999 Berlin Kreuzberg;13,4168168;52,500692
24;Babylon (Mitte);1;68;Rosa-Luxemburg-Straße 30 10178 Berlin Mitte;13,4111605;52,5259546
25;Babylon (Mitte);2;37;Rosa-Luxemburg-Straße 30 10178 Berlin Mitte;13,4111605;52,5259546
26;Bali;1;128;Teltower Damm 33 14169 Berlin Zehlendorf (030) 811 46 78Homepage;13,2593304;52,4319202
27;Berlinale Palast;1;163;Marlene Dietrich Platz 10785 Berlin TiergartenHomepage NA;13,3726623;52,5074875
28;Blauer Stern;1;165;Hermann-Hesse-Straße 11 13156 Berlin Pankow;13,4015108;52,5805194
29;Blauer Stern;2;74;Hermann-Hesse-Straße 11 13156 Berlin Pankow;13,4015108;52,5805194
30;BrotfabrikKino;1;60;Prenzlauer Promenade 3 13086 Berlin Weißensee;13,43054;52,55268
31;Bundesplatz Kino;1;88;Bundesplatz 14 10715 Berlin Wilmersdorf (030) 854 060 85Homepage;13,32951;52,47898
32;Capitol Dahlem;1;162;Thielallee 36 14195 Berlin Zehlendorf (030) 831 64 17Homepage;13,28672;52,45303
33;Casablanca;1;100;Friedenstraße 12 12489 Berlin Treptow;13,548016;52,4355655
34;Central;1;89;Rosenthaler Straße 39 10178 Berlin Mitte;13,4027607;52,5242039
35;Central;2;63;Rosenthaler Straße 39 10178 Berlin Mitte;13,4027607;52,5242039
36;Cinema;1;119;Bundesallee 111 12161 Berlin Schöneberg (030) 852 30 04Homepage;13,3286893;52,4668778
37;"Cinema
Paris";1;325;Kurfürstendamm 211 10719 Berlin Charlottenburg;13,3249059;52,5022722
38;CinemaxX Potsdamer Platz;1;301;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
39;CinemaxX Potsdamer Platz;2;117;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
40;CinemaxX Potsdamer Platz;3;497;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
41;CinemaxX Potsdamer Platz;4;301;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
42;CinemaxX Potsdamer Platz;5;279;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
43;CinemaxX Potsdamer Platz;6;279;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
44;CinemaxX Potsdamer Platz;7;599;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
